path,domain,line_count,classification,merge_target,reason,risk,referenced_by
src/analysis/BeatTracker.cpp,Analysis,128,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/BeatTracker.h;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/BeatTracker.h,Analysis,13,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/BeatTracker.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/DownbeatDetector.cpp,Analysis,62,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/DownbeatDetector.h;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/DownbeatDetector.h,Analysis,13,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/DownbeatDetector.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/PhraseAnalyzer.cpp,Analysis,360,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/PhraseAnalyzer.h;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/PhraseAnalyzer.h,Analysis,40,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/PhraseAnalyzer.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/TempoEstimator.cpp,Analysis,173,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/TempoEstimator.h;src/rendering/WaveformAnalysisOrchestrator.cpp
src/analysis/TempoEstimator.h,Analysis,25,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/TempoEstimator.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp
src/app/AppConfig.cpp,Application,73,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/AppConfig.h;src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h
src/app/AppConfig.h,Application,32,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/AppConfig.cpp;src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h
src/app/AppExitGate.h,Application,27,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h
src/app/ApplicationBootstrap.cpp,Application,639,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/main.cpp
src/app/ApplicationBootstrap.h,Application,3,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/main.cpp
src/app/ApplicationLifecycle.cpp,Application,213,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h
src/app/ApplicationLifecycle.h,Application,98,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp
src/app/CiSmokeTest.cpp,Application,71,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/main.cpp
src/app/CiSmokeTest.h,Application,3,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/CiSmokeTest.cpp;src/main.cpp
src/app/ControlClock.cpp,Application,286,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/ControlClock.h;src/app/SystemMonitor.cpp;src/app/SystemMonitor.h;src/controllers/ControllerIntegrationManager.cpp;src/controllers/ControllerIntegrationManager.h;src/controllers/flx10/DDJFLX10Controller.cpp;src/controllers/flx10/DDJFLX10Controller.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/library/LibraryPreviewPlayer.cpp;src/library/LibraryPreviewPlayer.h;src/link/LinkManager.cpp;src/link/LinkManager.h;src/midi/MidiControllerManager.cpp;src/midi/MidiControllerManager.h
src/app/ControlClock.h,Application,156,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/ControlClock.cpp;src/app/SystemMonitor.cpp;src/app/SystemMonitor.h;src/controllers/ControllerIntegrationManager.cpp;src/controllers/ControllerIntegrationManager.h;src/controllers/flx10/DDJFLX10Controller.cpp;src/controllers/flx10/DDJFLX10Controller.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/library/LibraryPreviewPlayer.cpp;src/library/LibraryPreviewPlayer.h;src/link/LinkManager.cpp;src/link/LinkManager.h;src/midi/MidiControllerManager.cpp;src/midi/MidiControllerManager.h
src/app/CursorControl.cpp,Application,27,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/CursorControl.h
src/app/CursorControl.h,Application,22,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/CursorControl.cpp
src/app/DeckChannels.h,Application,30,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/MixerControl.cpp;src/fx/FxManager.cpp;src/midi/MixerParameterBridge.cpp
src/app/LsanSuppressions.cpp,Application,32,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/app/MixerControl.cpp,Application,261,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/DeckChannels.h;src/app/MixerControl.h;src/midi/MidiFlx10Bridge.cpp;src/midi/MixerParameterBridge.cpp;src/midi/MixerParameterBridge.h;src/qml/CrossfaderBar.qml
src/app/MixerControl.h,Application,80,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/DeckChannels.h;src/app/MixerControl.cpp;src/midi/MidiFlx10Bridge.cpp;src/midi/MixerParameterBridge.cpp;src/midi/MixerParameterBridge.h;src/qml/CrossfaderBar.qml
src/app/SettingsManager.cpp,Settings,576,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/app/SettingsManager.h;src/app/UiScaleController.cpp;src/app/UiScaleController.h;src/app/WaveformZoomController.cpp;src/app/WaveformZoomController.h;src/library/LibraryDatabase.cpp;src/midi/MidiControllerManager.cpp;src/midi/MidiDeviceEnumeration.cpp;src/midi/MidiFlx10Bridge.cpp;src/midi/MidiMappingLoader.cpp
src/app/SettingsManager.h,Settings,158,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/app/SettingsManager.cpp;src/app/UiScaleController.cpp;src/app/UiScaleController.h;src/app/WaveformZoomController.cpp;src/app/WaveformZoomController.h;src/library/LibraryDatabase.cpp;src/midi/MidiControllerManager.cpp;src/midi/MidiDeviceEnumeration.cpp;src/midi/MidiFlx10Bridge.cpp;src/midi/MidiMappingLoader.cpp
src/app/SystemMonitor.cpp,Application,208,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/SystemMonitor.h
src/app/SystemMonitor.h,Application,36,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/SystemMonitor.cpp
src/app/UiScaleController.cpp,Application,54,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/UiScaleController.h
src/app/UiScaleController.h,Application,60,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/UiScaleController.cpp
src/app/WaveformZoomController.cpp,Application,47,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/WaveformZoomController.h
src/app/WaveformZoomController.h,Application,51,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.h;src/app/WaveformZoomController.cpp
src/audio/cache/AudioCacheHandle.h,Audio Cache / Streaming,30,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/audio/cache/AudioPageCache.cpp;src/audio/cache/AudioPageCache.h;src/audio/cache/CachedPlaybackAudioSource.cpp;src/audio/cache/CachedPlaybackAudioSource.h;src/engine/DjEngine.h;src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/deck/DeckTrackLoader.h;src/engine/deck/DeckTransport.cpp;src/engine/deck/DeckTransport.h;src/engine/dsp/ScratchDeckBridge.cpp;src/engine/dsp/ScratchDeckBridge.hpp;src/engine/dsp/ScratchResampler.cpp;src/engine/dsp/ScratchResampler.hpp;src/engine/facade/Transport.cpp
src/audio/cache/AudioCacheWorker.cpp,Audio Cache / Streaming,17,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/audio/cache/AudioCacheWorker.h;src/audio/cache/AudioPageCache.cpp;src/audio/cache/AudioPageCache.h
src/audio/cache/AudioCacheWorker.h,Audio Cache / Streaming,20,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/audio/cache/AudioCacheWorker.cpp;src/audio/cache/AudioPageCache.cpp;src/audio/cache/AudioPageCache.h
src/audio/cache/AudioPage.h,Audio Cache / Streaming,37,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/audio/cache/AudioPageCache.cpp;src/audio/cache/AudioPageCache.h;src/audio/cache/CachedPlaybackAudioSource.cpp;src/engine/dsp/ScratchResampler.cpp
src/audio/cache/AudioPageCache.cpp,Audio Cache / Streaming,326,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/audio/cache/AudioCacheHandle.h;src/audio/cache/AudioCacheWorker.cpp;src/audio/cache/AudioCacheWorker.h;src/audio/cache/AudioPageCache.h;src/audio/cache/CachedPlaybackAudioSource.cpp;src/audio/cache/CachedPlaybackAudioSource.h;src/engine/DjEngine.h;src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/deck/DeckTrackLoader.cpp;src/engine/deck/DeckTrackLoader.h;src/engine/dsp/ScratchDeckBridge.cpp;src/engine/dsp/ScratchDeckBridge.hpp;src/engine/dsp/ScratchResampler.cpp;src/engine/dsp/ScratchResampler.hpp;src/engine/facade/Core.cpp;src/engine/facade/Transport.cpp
src/audio/cache/AudioPageCache.h,Audio Cache / Streaming,90,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/audio/cache/AudioCacheHandle.h;src/audio/cache/AudioCacheWorker.cpp;src/audio/cache/AudioCacheWorker.h;src/audio/cache/AudioPageCache.cpp;src/audio/cache/CachedPlaybackAudioSource.cpp;src/audio/cache/CachedPlaybackAudioSource.h;src/engine/DjEngine.h;src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/deck/DeckTrackLoader.cpp;src/engine/deck/DeckTrackLoader.h;src/engine/dsp/ScratchDeckBridge.cpp;src/engine/dsp/ScratchDeckBridge.hpp;src/engine/dsp/ScratchResampler.cpp;src/engine/dsp/ScratchResampler.hpp;src/engine/facade/Core.cpp;src/engine/facade/Transport.cpp
src/audio/cache/CachedPlaybackAudioSource.cpp,Audio Cache / Streaming,123,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/audio/cache/CachedPlaybackAudioSource.h;src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/dsp/ScratchDeckBridge.cpp;src/engine/facade/FacadeIncludes.h
src/audio/cache/CachedPlaybackAudioSource.h,Audio Cache / Streaming,51,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/audio/cache/CachedPlaybackAudioSource.cpp;src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/dsp/ScratchDeckBridge.cpp;src/engine/facade/FacadeIncludes.h
src/audio/device/AudioDeviceService.cpp,Audio Device,678,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/app/SettingsManager.cpp;src/app/SettingsManager.h;src/audio/device/AudioDeviceService.h;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/Diagnostics.cpp;src/engine/facade/Settings.cpp;src/engine/facade/Transport.cpp
src/audio/device/AudioDeviceService.h,Audio Device,97,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/app/SettingsManager.cpp;src/app/SettingsManager.h;src/audio/device/AudioDeviceService.cpp;src/engine/DjEngine.h;src/engine/facade/Core.cpp;src/engine/facade/Diagnostics.cpp;src/engine/facade/Settings.cpp;src/engine/facade/Transport.cpp
src/audio/device/AudioDeviceUtils.cpp,Audio Device,456,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/audio/device/AudioDeviceService.cpp;src/audio/device/AudioDeviceService.h
src/audio/device/AudioDeviceUtils.h,Audio Device,59,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/audio/device/AudioDeviceService.cpp;src/audio/device/AudioDeviceService.h;src/audio/device/AudioDeviceUtils.cpp
src/controllers/ControllerIntegrationManager.cpp,Controller / MIDI / HID,61,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/controllers/ControllerIntegrationManager.h
src/controllers/ControllerIntegrationManager.h,Controller / MIDI / HID,41,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/controllers/ControllerIntegrationManager.cpp
src/controllers/ControllerProfile.h,Controller / MIDI / HID,23,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/controllers/DeckIndex.h,Controller / MIDI / HID,23,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/controllers/flx10/DDJFLX10Controller.cpp
src/controllers/flx10/DDJFLX10Controller.cpp,Controller / MIDI / HID,649,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/controllers/ControllerIntegrationManager.cpp;src/controllers/ControllerIntegrationManager.h;src/controllers/flx10/DDJFLX10Controller.h;src/controllers/flx10/Flx10DisplayProtocol.cpp;src/controllers/flx10/Flx10HidTransport.cpp
src/controllers/flx10/DDJFLX10Controller.h,Controller / MIDI / HID,170,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/controllers/ControllerIntegrationManager.cpp;src/controllers/ControllerIntegrationManager.h;src/controllers/flx10/DDJFLX10Controller.cpp;src/controllers/flx10/Flx10DisplayProtocol.cpp;src/controllers/flx10/Flx10HidTransport.cpp
src/controllers/flx10/Flx10Constants.h,Controller / MIDI / HID,10,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/midi/MidiFlx10Bridge.cpp
src/controllers/flx10/Flx10DisplayProtocol.cpp,Controller / MIDI / HID,645,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/controllers/flx10/Flx10HidTransport.cpp,Controller / MIDI / HID,254,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/controllers/flx10/Flx10ProtocolCommon.h,Controller / MIDI / HID,218,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/controllers/flx10/DDJFLX10Controller.cpp;src/controllers/flx10/Flx10DisplayProtocol.cpp;src/controllers/flx10/Flx10HidTransport.cpp
src/database/DatabaseWorker.cpp,Database,513,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/database/DatabaseWorker.h;src/library/LibraryDatabase.cpp;src/library/LibraryDatabase.h
src/database/DatabaseWorker.h,Database,160,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/database/DatabaseWorker.cpp;src/library/LibraryDatabase.cpp;src/library/LibraryDatabase.h
src/domain/TrackData.cpp,Unknown / Mixed Responsibility,966,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/AnalysisResult.h;src/analysis/AnalysisWorkingData.h;src/analysis/PhraseAnalyzer.cpp;src/analysis/PhraseAnalyzer.h;src/controllers/flx10/DDJFLX10Controller.cpp;src/controllers/flx10/Flx10DisplayProtocol.cpp;src/domain/TrackData.h;src/engine/DjEngine.h;src/engine/deck/DeckTrackLoader.h;src/engine/facade/Core.cpp;src/engine/facade/CueLoop.cpp;src/engine/facade/Sync.cpp;src/engine/facade/Transport.cpp;src/library/LibraryAnalysisManager.cpp;src/library/LibraryAnalysisManager.h;src/library/LibraryDatabase.cpp;src/library/LibraryDatabase.h;src/library/LibraryTrackStore.cpp;src/rendering/RgbWaveformItem.cpp;src/rendering/RgbWaveformItem.h;src/rendering/ScrollingWaveformItem.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp;src/rendering/WaveformAnalyzer.cpp;src/rendering/WaveformAnalyzer.h;src/rendering/WaveformCache.cpp;src/rendering/WaveformCache.h;src/rendering/WaveformEnvelopePass.cpp;src/rendering/WaveformEnvelopePass.h
src/domain/TrackData.h,Unknown / Mixed Responsibility,417,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/AnalysisResult.h;src/analysis/AnalysisWorkingData.h;src/analysis/PhraseAnalyzer.cpp;src/analysis/PhraseAnalyzer.h;src/controllers/flx10/DDJFLX10Controller.cpp;src/controllers/flx10/Flx10DisplayProtocol.cpp;src/domain/TrackData.cpp;src/engine/DjEngine.h;src/engine/deck/DeckTrackLoader.h;src/engine/facade/Core.cpp;src/engine/facade/CueLoop.cpp;src/engine/facade/Sync.cpp;src/engine/facade/Transport.cpp;src/library/LibraryAnalysisManager.cpp;src/library/LibraryAnalysisManager.h;src/library/LibraryDatabase.cpp;src/library/LibraryDatabase.h;src/library/LibraryTrackStore.cpp;src/rendering/RgbWaveformItem.cpp;src/rendering/RgbWaveformItem.h;src/rendering/ScrollingWaveformItem.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp;src/rendering/WaveformAnalyzer.cpp;src/rendering/WaveformAnalyzer.h;src/rendering/WaveformCache.cpp;src/rendering/WaveformCache.h;src/rendering/WaveformEnvelopePass.cpp;src/rendering/WaveformEnvelopePass.h
src/domain/TrackSegment.h,Unknown / Mixed Responsibility,11,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/analysis/AnalysisResult.h;src/analysis/AnalysisWorkingData.h;src/analysis/PhraseAnalyzer.cpp;src/analysis/PhraseAnalyzer.h;src/domain/TrackData.cpp;src/domain/TrackData.h;src/engine/facade/Core.cpp;src/library/LibraryDatabase.h;src/library/LibraryTrackStore.cpp;src/rendering/WaveformAnalysisOrchestrator.cpp
src/domain/TransportLimits.h,Unknown / Mixed Responsibility,6,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/domain/TrackData.cpp;src/domain/TrackData.h;src/engine/DjEngine.h;src/engine/deck/DeckTransport.cpp
src/engine/DjEngine.h,Application,662,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/app/DeckChannels.h;src/app/MixerControl.cpp;src/app/MixerControl.h;src/controllers/ControllerIntegrationManager.cpp;src/controllers/ControllerIntegrationManager.h;src/controllers/flx10/DDJFLX10Controller.cpp;src/controllers/flx10/DDJFLX10Controller.h;src/controllers/flx10/Flx10DisplayProtocol.cpp;src/controllers/flx10/Flx10ProtocolCommon.h;src/engine/dsp/ScratchDeckBridge.hpp;src/engine/facade/Core.cpp;src/engine/facade/CueLoop.cpp;src/engine/facade/Diagnostics.cpp;src/engine/facade/FacadeIncludes.h;src/engine/facade/Fx.cpp;src/engine/facade/Scratch.cpp;src/engine/facade/Settings.cpp;src/engine/facade/Sync.cpp;src/engine/facade/Transport.cpp;src/fx/FxManager.cpp;src/fx/FxManager.h;src/midi/MidiControllerManager.h;src/midi/MidiControllerManagerInternal.h;src/midi/MidiFlx10Bridge.cpp;src/midi/MixerParameterBridge.cpp;src/midi/MixerParameterBridge.h;src/midi/feedback/MidiFeedbackController.cpp;src/midi/feedback/MidiFeedbackController.h;src/rendering/RgbWaveformItem.cpp;src/rendering/RgbWaveformItem.h;src/rendering/ScrollingWaveformItem.cpp;src/rendering/ScrollingWaveformItem.h
src/engine/DjMasterBus.cpp,Master Mixing,636,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/engine/DjEngine.h;src/engine/DjMasterBus.h;src/engine/dsp/MixerDspSource.cpp;src/engine/facade/Core.cpp;src/engine/facade/Diagnostics.cpp;src/engine/facade/FacadeIncludes.h;src/engine/facade/Settings.cpp;src/engine/facade/Transport.cpp
src/engine/DjMasterBus.h,Master Mixing,179,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/app/ApplicationBootstrap.cpp;src/app/ApplicationLifecycle.cpp;src/app/ApplicationLifecycle.h;src/engine/DjEngine.h;src/engine/DjMasterBus.cpp;src/engine/dsp/MixerDspSource.cpp;src/engine/facade/Core.cpp;src/engine/facade/Diagnostics.cpp;src/engine/facade/FacadeIncludes.h;src/engine/facade/Settings.cpp;src/engine/facade/Transport.cpp
src/engine/MasterBusAudioEndpoint.h,Master Mixing,23,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjMasterBus.h;src/engine/deck/DeckAudioGraph.h;src/library/LibraryPreviewPlayer.h
src/engine/SyncMaintenancePolicy.h,Sync,13,KEEP,,Clear current boundary or insufficient evidence for a change,low,
src/engine/deck/DeckAudioGraph.cpp,Deck Playback,247,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/deck/DeckAudioGraph.h;src/engine/deck/DeckTransport.cpp;src/engine/deck/DeckTransport.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h
src/engine/deck/DeckAudioGraph.h,Deck Playback,94,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckTransport.cpp;src/engine/deck/DeckTransport.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h
src/engine/deck/DeckCueLoopController.cpp,Deck Playback,221,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/deck/DeckCueLoopController.h
src/engine/deck/DeckCueLoopController.h,Deck Playback,111,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/deck/DeckCueLoopController.cpp
src/engine/deck/DeckTrackLoader.cpp,Deck Playback,224,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/deck/DeckTrackLoader.h;src/engine/facade/Transport.cpp
src/engine/deck/DeckTrackLoader.h,Deck Playback,120,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/deck/DeckTrackLoader.cpp;src/engine/facade/Transport.cpp
src/engine/deck/DeckTransport.cpp,Deck Playback,572,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/deck/DeckTransport.h;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h
src/engine/deck/DeckTransport.h,Deck Playback,148,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/DjEngine.h;src/engine/deck/DeckTransport.cpp;src/engine/facade/Core.cpp;src/engine/facade/FacadeIncludes.h
src/engine/deck/MetadataUtils.cpp,Deck Playback,125,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckTrackLoader.cpp;src/engine/facade/FacadeIncludes.h
src/engine/deck/MetadataUtils.h,Deck Playback,32,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckTrackLoader.cpp;src/engine/deck/MetadataUtils.cpp;src/engine/facade/FacadeIncludes.h
src/engine/dsp/HermiteKernel.hpp,Deck Playback,69,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/HermiteResamplingAudioSource.cpp;src/engine/dsp/ScratchResampler.cpp
src/engine/dsp/HermiteResamplingAudioSource.cpp,Deck Playback,190,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/HermiteResamplingAudioSource.h;src/engine/dsp/ScratchDeckBridge.cpp;src/engine/dsp/ScratchDeckBridge.hpp
src/engine/dsp/HermiteResamplingAudioSource.h,Deck Playback,46,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/dsp/HermiteResamplingAudioSource.cpp;src/engine/dsp/ScratchDeckBridge.cpp;src/engine/dsp/ScratchDeckBridge.hpp
src/engine/dsp/MixerDspSource.cpp,Deck DSP / Mixer,618,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/dsp/MixerDspSource.h;src/engine/facade/FacadeIncludes.h
src/engine/dsp/MixerDspSource.h,Deck DSP / Mixer,143,KEEP,,Clear current boundary or insufficient evidence for a change,low,src/engine/deck/DeckAudioGraph.cpp;src/engine/deck/DeckAudioGraph.h;src/engine/dsp/MixerDspSource.cpp;src/engine/facade/FacadeIncludes.h
